AppID,AppDescription,AppPermission
com.google.android.youtube,"Get the official YouTube app on Android phones and tablets. See what the world is watching -- from the hottest music videos to what’s popular in gaming, fashion, beauty, news, learning and more. Subscribe to channels you love, create content of your own, share with friends, and watch on any device.

Watch and subscribe 
● Browse personal recommendations on Home
● See the latest from your favorite channels in Subscriptions 
● Look up videos you’ve watched, liked, and saved for later in Library 

Explore different topics, what’s popular, and on the rise (available in select countries)
● Stay up to date on what’s popular in music, gaming, beauty, news, learning and more
● See what’s trending on YouTube and around the world on Explore
● Learn about the coolest Creators, Gamers, and Artists on the Rise (available in select countries)

Connect with the YouTube community
● Keep up with your favorites creators with Posts, Stories, Premieres, and Live streams
● Join the conversation with comments and interact with creators and other community members

Create content from your mobile device
● Create or upload your own videos directly in the app 
● Engage with your audience in real time with live streaming right from the app

Find the experience that fits you and your family (available in select countries)
● Every family has their own approach to online video. Learn about your options: the YouTube Kids app or a new parent supervised experience on YouTube at youtube.com/myfamily

Support creators you love with channel memberships (available in select countries)
● Join channels that offer paid monthly memberships and support their work
● Get access to exclusive perks from the channel & become part of their members community
● Stand out in comments and live chats with a loyalty badge next to your username

Upgrade to YouTube Premium (available in select countries)
● Watch videos uninterrupted by ads, while using other apps, or when the screen is locked
● Save videos for when you really need them – like when you’re on a plane or commuting
● Get access to YouTube Music Premium as part of your benefits","take pictures and videos,read phone status and identity,find accounts on the device,add or remove accounts,view Wi-Fi connections,read the contents of your USB storage,modify or delete the contents of your USB storage,record audio,read phone status and identity,find accounts on the device,read your contacts,approximate location (network-based),precise location (GPS and network-based),read the contents of your USB storage,modify or delete the contents of your USB storage,run at startup,view network connections,draw over other apps,read Google service configuration,prevent device from sleeping,control Near Field Communication,use accounts on the device,control vibration,full network access,measure app storage space"
com.google.android.apps.photos,"Google Photos is the home for all your photos and videos, automatically organized and easy to share.

      - “The best photo product on Earth” – The Verge

      - “Google Photos is your new essential picture app” – Wired



    The official Google Photos app is made for the way you take photos today and includes essential features like shared albums, automatic creations and an advanced editing suite. Additionally every Google Account comes with 15 GB of free storage and you can choose to automatically back up all your photos and videos in High quality or Original quality. You can then access them from any connected device and on photos.google.com.



    With the official app, you get:



    FREE STORAGE: Back up 15 GB of photos and videos for free and access them from any device and photos.google.com—your photos are safe, secure, and private to you. All photos and videos you back up in High quality before June 1, 2021 will not count toward your Google Account storage.



    FREE UP SPACE: Never worry about running out of space on your phone again. Photos that are safely backed up can be removed from your device's storage in just a tap.



    SMART AUTOMATIC ALBUMS: Automatically get a new album with just your best shots after an event or trip, then invite others to add their photos.



    AUTOMATIC CREATIONS: Bring photos to life with automatically created movies, collages, animations, panoramas, and more from your photos. Or easily create them yourself.



    ADVANCED EDITING SUITE: Transform photos with a tap. Use intuitive and powerful photo editing tools to apply content-aware filters, adjust lighting, and more.



    SHARING SUGGESTIONS: With smart sharing suggestions, giving your friends the photos you took of them is painless. And they can add their photos, too, so you’ll finally get the photos you’re actually in.



    FAST AND POWERFUL SEARCH: Your photos are now searchable by the people, places and things in them — no tagging required.



    LIVE ALBUMS: Select the people and pets you want to see and Google Photos will automatically add photos of them as you take them, no manual updates needed.*



    PHOTO BOOKS: Create a photo book in just minutes from your phone or computer. You can also see suggested photo books based on your best shots from a trip or period of time.*



    GOOGLE LENS: Search the hard-to-describe and get stuff done, right from a photo. Copy and translate text, identify plants and animals, add events to your calendar, find products online, and more.



    SEND PHOTOS IN SECONDS: Instantly share photos with any contact, email, or phone number.



    SHARED LIBRARIES: Grant a trusted person access to all of your photos.



    You can also upgrade storage for your Google Account, used for Original Quality photos and videos by subscribing to Google One. Subscriptions start at $1.99/month for 100 GB in the US. Pricing and availability can vary by region.

      - Google One Terms of Service: https://one.google.com/terms-of-service

      - One Google Pricing: https://one.google.com/about



    For additional help visit https://support.google.com/photos



    *Face grouping, live albums and photo books are not available in all countries.","find accounts on the device,read your contacts,modify your contacts,approximate location (network-based),precise location (GPS and network-based),read the contents of your USB storage,modify or delete the contents of your USB storage,find accounts on the device,add or remove accounts,read your own contact card,read phone status and identity,read phone status and identity,read the contents of your USB storage,modify or delete the contents of your USB storage,run at startup,draw over other apps,prevent device from sleeping,control vibration,toggle sync on and off,modify system settings,connect and disconnect from Wi-Fi,install shortcuts,read sync settings,change network connectivity,view network connections,pair with Bluetooth devices,read Google service configuration,control Near Field Communication,use accounts on the device,full network access,set wallpaper,measure app storage space"
com.google.android.apps.docs,"Google Drive is a safe place to back up and access all your files from any device. Easily invite others to view, edit, or leave comments on any of your files or folders.

With Drive, you can:

• Safely store and access your files anywhere
• Quickly access recent and important files
• Search for files by name and content
• Share and set permissions for files and folders
• View your content on the go while offline
• Receive notifications about important activity on your files
• Use your device’s camera to scan paper documents

Learn more about Google Apps update policy: https://support.google.com/a/answer/6288871

Google accounts get 15GB of storage free, shared across Google Drive, Gmail, and Google Photos. For additional storage, you can upgrade to a premium subscription plan as an in-app purchase. Subscriptions start at $1.99/month for 100 GB in the US, and can vary by region.
 
Google Privacy Policy: https://www.google.com/intl/en_US/policies/privacy
Google Drive Terms of Service: https://www.google.com/drive/terms-of-service","read the contents of your USB storage,modify or delete the contents of your USB storage,find accounts on the device,add or remove accounts,find accounts on the device,read your contacts,view Wi-Fi connections,take pictures and videos,read the contents of your USB storage,modify or delete the contents of your USB storage,toggle sync on and off,control Near Field Communication,create accounts and set passwords,read Google service configuration,view network connections,measure app storage space,use accounts on the device,full network access,control vibration,run at startup,prevent device from sleeping,read sync settings,uninstall shortcuts,install shortcuts"
com.android.chrome,"Google Chrome is a fast, easy to use, and secure web browser. Designed for Android, Chrome brings you personalized news articles, quick links to your favorite sites, downloads, and Google Search and Google Translate built-in. Download now to enjoy the same Chrome web browser experience you love across all your devices.
        
        Browse fast and type less. Choose from personalized search results that instantly appear as you type and quickly browse previously visited web pages. Fill in forms quickly with Autofill.
        
        Incognito Browsing. Use Incognito mode to browse the internet without saving your history. Browse privately across all your devices.
        
        Sync Chrome Across Devices. When you sign into Chrome, your bookmarks, passwords, and settings will be automatically synced across all your devices. You can seamlessly access all your information from your phone, tablet, or laptop.
        
        All your favorite content, one tap away. Chrome is not just fast for Google Search, but designed so you are one tap away from all your favorite content. You can tap on your favorite news sites or social media directly from the new tab page. Chrome also has the “Tap to Search”- feature on most webpages. You can tap on any word or phrase to start a Google search while still in the page you are enjoying.
        
        Protect your phone with Google Safe Browsing. Chrome has Google Safe Browsing built-in. It keeps your phone safe by showing warnings to you when you attempt to navigate to dangerous sites or download dangerous files.
        
        Fast downloads and view web pages and videos offline Chrome has a dedicated download button, so you can easily download videos, pictures, and entire webpages with just one tap. Chrome also has downloads home right inside Chrome, where you can access all the content you downloaded, even when you are offline.
        
        Google Voice Search. Chrome gives you an actual web browser you can talk to. Use your voice to find answers on-the-go without typing and go hands free. You can browse and navigate quicker using your voice anywhere, anytime.
        
        Google Translate built-in: Quickly translate entire web pages. Chrome has Google Translate built in to help you to translate entire web to your own language with one tap.
        
        Use less mobile data and speed up the web. Turn on Lite mode and use up to 60% less data. Chrome can compress text, images, videos, and websites without lowering the quality.
        
        Smart personalized recommendations. Chrome creates an experience that is tailored to your interests.  On the new tab page, you will find articles that Chrome selected based on your previous browsing history.","record audio,take pictures and videos,view Wi-Fi connections,read your Web bookmarks and history,find accounts on the device,add or remove accounts,read your contacts,find accounts on the device,modify or delete the contents of your USB storage,read the contents of your USB storage,modify or delete the contents of your USB storage,read the contents of your USB storage,approximate location (network-based),precise location (GPS and network-based),control vibration,control Near Field Communication,pair with Bluetooth devices,access Bluetooth settings,change your audio settings,install shortcuts,read sync settings,prevent device from sleeping,toggle sync on and off,run at startup,view network connections,full network access,reorder running apps,read Google service configuration,change network connectivity,use accounts on the device,write web bookmarks and history"
com.google.android.play.games,"Games are more fun with the Google Play Games app. We'll help you find your next favorite game – from action to puzzles. And with ""Instant play,"" many games require no installation. Really. Save your progress and track your achievements as you level up. Plus, you can pick up where you left off from any device.

KEY FEATURES
• Instant play: There’s no installation needed – look for the ""Instant play"" button to instantly play full games.
• Built-in Google games: Play Solitaire, Minesweeper, Snake, PAC-MAN, Cricket, and Whirlybird – even when you’re offline.
• Save your progress: Your progress is automatically saved to the cloud when you see ""Progress saved by Play Games.""
• Gamer profile: Create a custom gamer ID, unlock achievements, earn XP, and level up.
• Gameplay recording: Easily record and share your best gameplay moments.","find accounts on the device,find accounts on the device,view network connections,prevent device from sleeping,run at startup,full network access,control vibration,read Google service configuration,use accounts on the device,install shortcuts"
com.google.android.googlequicksearchbox,"The Google app keeps you in the know about things that matter to you. Find quick answers, explore your interests, and stay up to date with Discover. The more you use the Google app, the better it gets.

Search and browse:
- Nearby shops and restaurants
- Live sports scores and schedules
- Movies times, casts, and reviews
- Videos and images
- News, stock information, and more
- Anything you’d find on the web

Get personalized updates in Discover*:
- Stay in the know about topics that interest you
- Start your morning with weather and top news
- Get updates on sports, movies, and events
- Know as soon as your favorite artists drop new albums
- Get stories about your interests and hobbies
- Follow interesting topics, right from Search results

Unstable connection?
- Google will automatically optimize results to improve loading on bad connections
- If Google cannot complete a Search, you’ll get a notification with the search results once you regain connection

Learn more about what the Google app can do for you: http://www.google.com/search/about
*some features of Discover might not be available in all countries","read phone status and identity,change/intercept network settings and traffic,read the contents of your USB storage,modify or delete the contents of your USB storage,read phone status and identity,read call log,directly call phone numbers,directly call any phone numbers,read your Web bookmarks and history,retrieve running apps,edit your text messages (SMS or MMS),read your text messages (SMS or MMS),send SMS messages,read your own contact card,add or remove accounts,find accounts on the device,read your contacts,modify your contacts,find accounts on the device,approximate location (network-based),precise location (GPS and network-based),read the contents of your USB storage,modify or delete the contents of your USB storage,take pictures and videos,add or modify calendar events and send email to guests without owners' knowledge,read calendar events plus confidential information,record audio,view Wi-Fi connections,view network connections,control Near Field Communication,full network access,set wallpaper,measure app storage space,set an alarm,change network connectivity,draw over other apps,expand/collapse status bar,access Bluetooth settings,control flashlight,allow Wi-Fi Multicast reception,send sticky broadcast,read sync settings,install shortcuts,pair with Bluetooth devices,change your audio settings,write web bookmarks and history,use accounts on the device,read Google service configuration,prevent device from sleeping,run at startup,connect and disconnect from Wi-Fi,control vibration,modify system settings"
com.google.android.apps.tachyon,"Google Duo is the highest quality video calling app*. It’s simple, reliable, and works across Android and iOS phones and tablets, smart devices, and on the web.


    Features:

    Make calls between Android and iOS
 Whether you’re on your phone, tablet, or on the web, you can stay in touch with Duo. You can also share and join group calls with just a link.

    Group call with up to 32 people
 Bring together all the people who matter most, even when you're apart, with group calling. Duo now supports 32 people in group video calls.

    Bring everyone together with Family mode**
 Doodle on video calls and surprise loved ones with fun masks and effects that transform you into astronauts, cats and more.\
    Capture special moments
 Take photos of your video calls to capture any moment and share it automatically with everyone on the call.

    Send video and voice messages, photos, and more
 Short on time or your friends can’t pick up? Leave a personalized video message with fun effects, or share voice messages, photos, notes, and emojis.

    Low Light Mode
 Duo lets you make video calls even in poor lighting conditions.

    Voice calling
 Make voice-only calls to your friends when you can’t chat over video.

    *Based on Signals Research Group technical study comparing video degradation time over 3G, LTE, and WiFi.

    **Requires sign-in with a Google account.

    ***Data charges may apply. Check your carrier for details.

    ****Specific feature availability may vary based on device specifications.

    *****If your Android TV does not have a built-in camera, you will need to connect a USB camera and microphone to your Android TV device.

    ******Duo works on Android TV devices with Android 8.0 or higher.","find accounts on the device,modify your contacts,read your contacts,read your own contact card,find accounts on the device,add or remove accounts,read phone status and identity,modify or delete the contents of your USB storage,take pictures and videos,view Wi-Fi connections,record audio,modify or delete the contents of your USB storage,read phone status and identity,write call log,toggle sync on and off,create accounts and set passwords,read Google service configuration,change network connectivity,view network connections,change your audio settings,measure app storage space,full network access,control vibration,run at startup,draw over other apps,prevent device from sleeping,pair with Bluetooth devices,install shortcuts,send sticky broadcast"
com.google.android.apps.maps,"Navigate your world faster and easier with Google Maps.  Over 220 countries and territories mapped and hundreds of millions of businesses and places on the map.  Get real-time GPS navigation, traffic, and transit info, and explore local neighborhoods by knowing where to eat, drink and go - no matter what part of the world you’re in.

Get there faster with real-time updates
• Beat traffic with real-time ETAs and traffic conditions
• Catch your bus, train, or ride-share with real-time transit info
• Save time with automatic rerouting based on live traffic, incidents, and road closures

Discover places and explore like a local
• Discover local restaurant, events, and activities that matter to you
• Know what’s trending and new places that are opening in the areas you care about
• Decide more confidently with “Your match,” a number on how likely you are to like a place
• Group planning made easy.  Share a shortlist of options and vote in real-time
• Create lists of your favorite places and share with friends
• Follow must-try places recommended by local experts, Google, and publishers
• Review places you’ve visited. Add photos, missing roads and places.

More experiences on Google Maps
• Offline maps to search and navigate without an internet connection
• Street View and indoor imagery for restaurants, shops, museums and more
• Indoor maps to quickly find your way inside big places like airports, malls and stadiums

* Some features not available in all countries

* Navigation isn't intended to be used by oversized or emergency vehicles","take pictures and videos,record audio,retrieve running apps,find accounts on the device,read your contacts,modify your contacts,approximate location (network-based),precise location (GPS and network-based),view Wi-Fi connections,read the contents of your USB storage,modify or delete the contents of your USB storage,find accounts on the device,add or remove accounts,read phone status and identity,send SMS messages,directly call phone numbers,read call log,write call log,read phone status and identity,read the contents of your USB storage,modify or delete the contents of your USB storage,run at startup,disable your screen lock,prevent device from sleeping,send sticky broadcast,control vibration,toggle sync on and off,connect and disconnect from Wi-Fi,install shortcuts,read sync settings,change network connectivity,view network connections,pair with Bluetooth devices,read Google service configuration,control Near Field Communication,use accounts on the device,full network access,access Bluetooth settings,measure app storage space"
com.google.android.videos,"Note: Google TV app is only available on Android mobile and tablet devices in the U.S.

Google TV app, previously Play Movies & TV, makes it easy to find and enjoy the entertainment you love in one place. With Google TV, you'll be able to: 

Find what to watch next
Browse 700,000+ movies and TV episodes from across your streaming apps, all in one place and organized into topics and genres. Discover new things with recommendations based on what you love and what’s trending across the services you already have access to. Search for titles to see which streaming apps offer them.

See the latest releases
Buy or rent the newest movies and shows right in the Shop tab. Purchases are stored in your Library and can be downloaded to watch when you're not connected. Watch instantly on your laptop, Android phone or tablet, or on your TV with Google TV or on Play Movies & TV where available. 

One list for all your discoveries
Add interesting shows and movies to your Watchlist to keep track of your new discoveries and view them later. The Watchlist is shared between all your devices, so you can even add to your Watchlist from your TV or phone and laptop through Search on any browser.


Learn more about Google TV: tv.google
Learn more about app updates: support.google.com/googleplay/community","record audio,read the contents of your USB storage,modify or delete the contents of your USB storage,find accounts on the device,view Wi-Fi connections,read phone status and identity,approximate location (network-based),precise location (GPS and network-based),find accounts on the device,read the contents of your USB storage,modify or delete the contents of your USB storage,read phone status and identity,full network access,toggle sync on and off,connect and disconnect from Wi-Fi,use accounts on the device,measure app storage space,view network connections,prevent device from sleeping,read Google service configuration,read sync settings,run at startup,access Bluetooth settings,pair with Bluetooth devices"
com.google.android.apps.docs.editors.docs,"Create, edit and collaborate with others on documents from your Android phone or tablet with the Google Docs app. With Docs you can:
 
 - Create new documents or edit existing files
 - Share documents and collaborate in the same document at the same time.
 - Work anywhere, anytime - even offline
 - Add and respond to comments.
 - Never worry about losing your work – everything is saved automatically as you type.
 - Research, right in Docs with Explore
 - Open, edit and save Word documents.
 
 Permissions Notice
 Contacts: This is used to give suggestions of people to add to files and share with.
 Storage: This is used to save and open files on USB or SD storage.","read the contents of your USB storage,modify or delete the contents of your USB storage,add or remove accounts,find accounts on the device,read your contacts,find accounts on the device,read the contents of your USB storage,modify or delete the contents of your USB storage,view Wi-Fi connections,view network connections,prevent device from sleeping,toggle sync on and off,full network access,control vibration,measure app storage space,read sync settings,use accounts on the device,install shortcuts,read Google service configuration"
